"URL","Page name","Page type/template","Parent","Header location","Footer location","Breadcrumb","Delivery priority","Release horizon","Commercial edition","Capability/backlog IDs and release evidence ID","Availability, evidence owner, verified environment, and last-verified release/date","Surface owner and implementation owner","Audience","Search/campaign intent","Primary CTA","Header/footer variant","Indexability","Canonical rule","Sitemap group","Schema types","CMS owner","Product/legal reviewer requirement","Analytics page type","Status, dependency, and unresolved-decision blockers"
"/","Homepage","Marketing landing","None","Logo and global navigation","Brand footer","None","P0","R0","Unapproved","Marketing brief; no release evidence ID","Preview; Product and Marketing; local static build; 2026-07-25","Marketing; Web","UMKM owners and operators","Brand and commercial discovery","Daftar Early Access","Full marketing","index,follow","Self","pages","Organization","Marketing","Product review","home","Built; launch CTA depends on launch state"
"/produk","Product hub","Product hub","/","Produk","Produk","Beranda > Produk","P0","R0","Unapproved","Product registry; release evidence pending","Mixed availability; Product; local static build; 2026-07-25","Product Marketing; Web","Prospective users","Product discovery","Daftar Early Access","Full marketing","index,follow","Self","pages","WebPage; BreadcrumbList","Product Marketing","Product review","product_hub","Built"
"/produk/[slug]","9 product details","Product detail family","/produk","Produk","Produk","Beranda > Produk > Detail","P0","R0-R2","Unapproved","Capability registry required per slug; release evidence pending","Preview or evidence-gated; Product; local static build; 2026-07-25","Product Marketing; Web","Prospective users by problem","Feature and product intent","Daftar Early Access","Full marketing","index,follow when approved","Self per instance","pages","WebPage; BreadcrumbList; FAQPage when visible","Product Marketing","Product and security review","product_detail","Built instances: asisten-ai|dashboard-bisnis|katalog-produk|penjualan|inventori|keuangan|pelanggan|laporan-insight|integrasi; public claims remain evidence-gated"
"/solusi","Solution hub","Solution hub","/","Solusi","Solusi","Beranda > Solusi","P0","R0","Unapproved","Solution brief; evidence resolved through product registry","Preview; Product Marketing; local static build; 2026-07-25","Product Marketing; Web","UMKM owners by business problem","Problem discovery","Konsultasikan Kebutuhan","Full marketing","index,follow","Self","pages","WebPage; BreadcrumbList","Product Marketing","Product review","solution_hub","Built"
"/solusi/[slug]","5 solution details","Solution detail family","/solusi","Solusi","Solusi","Beranda > Solusi > Detail","P0","R0-R1","Unapproved","Solution brief; linked product evidence required","Preview; Product; local static build; 2026-07-25","Product Marketing; Web","UMKM owners by problem","Problem and solution intent","Jadwalkan Demo","Full marketing","index,follow when approved","Self per instance","pages","WebPage; BreadcrumbList; FAQPage when visible","Product Marketing","Product review","solution_detail","Built instances: naikkan-omzet|kelola-stok|pantau-laba-dan-arus-kas|pahami-pelanggan|laporan-bisnis-otomatis; no guaranteed outcomes"
"/untuk","Role hub","Role hub","/","Untuk Tim","Solusi","Beranda > Untuk Tim","P0","R0","Unapproved","Role brief; persona evidence pending","Preview; Product; local static build; 2026-07-25","Product Marketing; Web","Business teams","Role discovery","Pilih Peran","Full marketing","index,follow","Self","pages","WebPage; BreadcrumbList","Product Marketing","Product review","role_hub","Built"
"/untuk/[slug]","4 role details","Role detail family","/untuk","Untuk Tim","Solusi","Beranda > Untuk Tim > Detail","P0","R0-R1","Unapproved","Role permission matrix; release evidence pending","Preview; Product; local static build; 2026-07-25","Product Marketing; Web","Owners, admins, cashiers, supervisors","Role-specific intent","Role-specific CTA","Full marketing","index,follow when approved","Self per instance","pages","WebPage; BreadcrumbList","Product Marketing","Product review","role_detail","Built instances: pemilik-usaha|admin-toko|kasir|supervisor; permissions require product validation"
"/industri","Industry hub","Industry hub","/","Industri","Solusi","Beranda > Industri","P0","R0","Unapproved","Industry brief; sellable vertical unresolved","Concept Preview; Product; local static build; 2026-07-25","Product Marketing; Web","UMKM by operating model","Industry discovery","Pilih Industri Anda","Full marketing","index,follow","Self","pages","WebPage; BreadcrumbList","Product Marketing","Product review","industry_hub","Built"
"/industri/[slug]","6 industry details","Industry detail family","/industri","Industri","Solusi","Beranda > Industri > Detail","P0","R0-R1","Unapproved","Industry fit evidence pending","Concept Preview; Product; local static build; 2026-07-25","Product Marketing; Web","Industry-specific visitors","Industry intent","Konsultasikan Kebutuhan","Full marketing","index,follow only after vertical approval","Self per instance","pages","WebPage; BreadcrumbList; FAQPage when visible","Product Marketing","Product review","industry_detail","Built instances: retail|fnb|distributor|reseller-online|jasa|manufaktur-kecil; first sellable vertical unresolved"
"/harga","Pricing","Pricing state page","/","Harga","Produk","Beranda > Harga","P0","R0","Unapproved","Pricing decision pending","Unapproved; Commercial owner; local static build; 2026-07-25","Commercial; Web","Qualified prospects","Pricing validation","Daftar Early Access","Full marketing","index,follow","Self","pages","WebPage; no Offer schema","Commercial","Product, finance, and legal review","pricing","Built; price values blocked until commercial approval"
"/early-access","Early access","Lead landing","/","Global CTA","Account","Beranda > Early Access","P0","R0","Unapproved","Lead funnel brief","Available only when endpoint configured; Marketing Ops; local static build; 2026-07-25","Growth; Web","Early users","Waitlist conversion","Kirim pendaftaran","Lead","index,follow after SEO approval","Self","pages","WebPage","Growth","Privacy and legal review","lead_early_access","Built; form fails closed without PUBLIC_LEAD_ENDPOINT"
"/demo","Demo","Lead landing","/","Contextual CTA","Account","Beranda > Demo","P0","R0","Unapproved","Demo operations plan pending","Available only when endpoint configured; Sales Ops; local static build; 2026-07-25","Sales; Web","Qualified prospects","Demo conversion","Minta jadwal demo","Lead","index,follow","Self","pages","WebPage","Sales","Privacy review","lead_demo","Built; staffing and endpoint required"
"/kontak","Contact","Lead landing","/","Contextual","Perusahaan","Beranda > Kontak","P0","R0","Unapproved","Contact routing pending","Available only when endpoint configured; Operations; local static build; 2026-07-25","Operations; Web","Visitors needing contact","Contact intent","Kirim pesan","Lead","index,follow","Self","pages","ContactPage","Operations","Privacy, security, and legal review","lead_contact","Built; restricted routing and endpoint required"
"/keamanan","Security","Trust page","/","Sumber Daya","Perusahaan","Beranda > Keamanan","P0","R0","Unapproved","Trust evidence registry pending","Evidence-gated; Security; local static build; 2026-07-25","Security; Web","Buyers and users","Trust intent","Hubungi Kami","Full marketing","index,follow after security review","Self","pages","WebPage","Security","Security and legal review","security","Built; certifications and provider claims blocked without evidence"
